date,capacity,turnover,high,low,close,change,transaction_volume,open
1455498000,77064578,11147911270,146.5,142.0,145.0,-1.0,21814,142.0
1455584400,56361967,8269447009,148.0,145.5,147.5,2.5,17135,146.0
1455670800,38486773,5700550482,149.0,147.0,148.0,0.5,13872,149.0
1455757200,61877408,9304766800,151.0,149.5,151.0,3.0,22057,150.0
1455843600,37444703,5618619050,151.0,149.0,151.0,0.0,10981,149.0
1456102800,29751439,4489653531,152.5,149.5,151.0,0.0,9155,149.5
1456189200,22500491,3365510724,151.0,149.0,149.5,-1.5,8897,150.5
1456275600,22082824,3279735952,150.5,147.0,148.0,-1.5,7979,149.5
1456362000,25233069,3783097850,151.0,148.5,150.5,2.5,11234,149.0
1456448400,46425984,6913777396,151.5,148.0,149.0,-1.5,9939,151.0
1456794000,44046047,6637110793,152.0,148.5,152.0,3.0,12003,148.5
1456880400,36101650,5548587572,154.5,153.0,153.0,1.0,11075,154.0
1456966800,28867121,4438187013,154.5,153.0,154.0,1.0,10112,154.0
1457053200,37794356,5763190355,153.5,151.5,152.5,-1.5,10724,153.0
1457312400,24052580,3655841160,153.5,151.0,152.0,-0.5,7324,152.5
1457398800,40643284,6126859884,152.0,149.5,152.0,0.0,13764,151.0
1457485200,24634641,3739057432,153.0,150.5,153.0,1.0,9423,152.0
1457571600,31343947,4806652328,154.5,151.5,154.5,1.5,10930,153.0
1457658000,31297178,4837597155,155.0,153.0,155.0,0.5,11727,154.5
1457917200,32987563,5161781768,157.5,155.5,156.0,1.0,11927,156.5
1458003600,29437607,4559507978,156.5,153.0,154.5,-1.5,12260,155.0
1458090000,31126817,4833620497,156.0,154.0,156.0,1.5,9853,155.5
1458176400,52228954,8305206845,160.0,157.5,158.5,2.5,14989,159.5
1458262800,57866711,9212470709,159.5,158.5,159.5,1.0,12106,158.5
1458522000,27687094,4409309006,160.0,158.0,160.0,0.5,9380,160.0
1458608400,29303958,4629935904,159.5,157.0,158.5,-1.5,11945,159.5
1458694800,29439666,4683223247,159.5,158.0,159.5,1.0,8670,158.5
1458781200,25198949,3975166192,159.0,157.0,158.5,-1.0,8841,158.0
1458867600,10970033,1727600287,159.0,157.0,158.0,-0.5,5593,158.5
1459126800,15857144,2513686562,159.0,157.0,159.0,1.0,6212,158.0
1459213200,19152246,3039163868,159.5,158.0,159.0,0.0,7098,158.5
1459299600,46113332,7394950933,162.0,158.5,161.5,2.5,14484,158.5
1459386000,54094182,8719278002,163.0,159.0,162.0,0.5,14511,162.0
1459472400,34544879,5490320944,161.0,157.5,158.5,-3.5,10001,161.0
1459904400,63133315,9740564255,156.0,153.5,153.5,-5.0,19206,155.5
1459990800,35933073,5527003723,155.0,152.5,154.5,1.0,10086,155.0
1460077200,42324696,6638324522,158.0,154.0,157.5,3.0,12800,154.0
1460336400,23189461,3653174233,159.0,155.5,158.5,1.0,6917,156.0
1460422800,14877049,2355629198,159.5,157.5,158.5,0.0,4707,157.5
1460509200,40333113,6494549624,162.0,159.5,161.5,3.0,12488,160.0
1460595600,31377056,5048472016,162.5,160.0,161.5,0.0,10380,162.0
1460682000,50339512,7971481408,160.0,156.0,159.5,-2.0,17202,157.0
1460941200,20876425,3294127620,158.5,157.5,158.0,-1.5,7888,158.0
1461027600,27622018,4378113806,161.0,157.0,157.5,-0.5,9884,160.0
1461114000,43418112,6743768418,158.0,154.0,154.0,-3.5,16130,157.5
1461200400,30419233,4748320930,157.0,154.0,157.0,3.0,11654,156.0
1461286800,29237052,4585332483,158.0,155.0,156.5,-0.5,6485,155.5
1461546000,14669483,2304985871,157.5,156.0,157.5,1.0,5007,156.5
1461632400,18539344,2921600608,158.5,156.5,158.0,0.5,5208,156.5
1461718800,36967022,5787771232,157.5,155.5,156.5,-1.5,6783,156.0
1461805200,49282820,7596743626,158.0,153.0,153.0,-3.5,15032,157.5
1461891600,75959754,11394504924,151.0,149.0,150.0,-3.0,18838,151.0
1462237200,68909160,10159653180,148.5,146.5,147.5,-2.5,21279,148.0
1462323600,55586383,8191113993,149.0,146.5,147.0,-0.5,13521,147.0
1462410000,40687466,5994815468,148.5,146.0,147.5,0.5,9466,147.5
1462496400,39401142,5824459658,148.5,147.0,148.0,0.5,8372,148.5
1462755600,39783802,5865540512,149.0,146.5,147.5,-0.5,12836,148.5
1462842000,39210189,5773106349,148.0,146.5,147.0,-0.5,8956,147.0
1462928400,45610564,6728618767,149.0,146.5,147.0,0.0,11477,148.5
1463014800,24008945,3525768415,148.0,146.0,146.0,-1.0,7183,147.0
1463101200,60713306,8748587885,145.5,143.0,144.0,-2.0,19508,145.0
1463360400,32239094,4658963140,145.5,143.0,144.5,0.5,9667,143.0
1463446800,32716713,4782396061,147.0,145.0,147.0,2.5,8501,145.5
1463533200,31106657,4552181579,147.0,145.0,147.0,0.0,9452,146.0
1463619600,35192869,5165152743,148.5,145.5,147.0,0.0,8803,148.0
1463706000,38046045,5647033644,149.5,147.0,148.5,1.5,9513,147.5
1463965200,50174359,7660606060,154.5,149.5,154.0,5.5,16914,150.5
1464051600,25677620,3904883920,153.5,151.0,151.0,-3.0,8713,152.5
1464138000,35410557,5441691960,155.0,152.5,154.5,3.5,10548,153.5
1464224400,18822152,2908894278,155.0,153.5,155.0,0.5,8493,154.5
1464310800,26617621,4146288768,156.5,154.5,156.5,1.5,7672,156.0
1464570000,38311828,6001068751,158.0,155.0,157.0,0.5,11762,157.0
1464656400,70177201,10968771725,157.5,155.0,156.5,-0.5,11056,156.5
1464742800,27743096,4386766007,159.0,156.0,159.0,2.5,9500,156.0
1464829200,21999904,3500288755,160.0,158.0,159.0,0.0,7933,159.0
1464915600,32020341,5124469706,160.5,159.0,160.5,1.5,10969,159.0
1465002000,2631269,420392883,160.0,159.5,160.0,-0.5,1428,160.0
1465174800,28898951,4651663660,162.0,160.0,161.0,1.0,8667,161.0
1465261200,47573770,7726094806,163.5,161.0,162.0,1.0,12269,161.5
1465347600,45587946,7522713617,166.0,163.5,165.5,3.5,15173,164.0
1465779600,54689228,8843806836,162.5,161.0,162.0,-3.5,14466,161.0
1465866000,27823266,4508801432,163.0,161.0,162.0,0.0,10951,161.0
1465952400,29328888,4763332856,163.0,161.0,163.0,1.0,9142,162.0
1466038800,36957340,5942664024,162.5,159.5,160.5,-2.5,7324,161.5
1466125200,31326264,5117145004,164.5,162.0,163.0,2.5,9885,162.5
1466384400,24949407,4090155341,165.0,163.0,163.0,0.0,8639,164.5
1466470800,28042486,4621986401,165.5,163.5,165.5,2.5,10369,164.0
1466557200,30409069,5013175385,166.0,163.5,166.0,0.5,8180,164.5
1466643600,22592551,3715357864,166.0,164.0,164.0,-2.0,8298,165.5
1466730000,86994060,13854488100,164.0,154.5,159.0,-5.0,27192,164.0
1466989200,43401750,6739714431,156.0,154.0,155.5,0.0,17925,154.5
1467075600,39095886,6111752511,157.5,155.0,157.0,1.5,12685,155.5
1467162000,32131574,5108302566,160.0,158.0,159.0,2.0,12754,158.5
1467248400,42854433,6916567646,163.0,159.5,162.5,3.5,14833,161.0
1467334800,36577822,6042239175,166.0,163.5,166.0,3.5,13186,164.5
1467594000,25968655,4302829364,166.5,164.5,166.0,0.0,9484,165.5
1467680400,16422882,2697844648,165.5,164.0,164.0,-2.0,6930,165.0
1467766800,35100107,5661722124,163.0,160.5,161.5,-2.5,12026,163.0
1467853200,24442273,4009459272,165.0,163.0,164.5,3.0,9726,163.5
1468198800,53434920,9066254650,170.5,168.5,170.0,5.5,14951,170.0
1468285200,42128936,7177356520,171.5,169.5,171.0,1.0,15021,171.0
1468371600,51719990,8708079977,170.0,167.0,168.5,-2.5,17109,169.5
1468458000,36131819,6094183541,170.0,167.0,169.0,0.5,12414,167.0
1468544400,41822109,7039081421,169.5,166.5,169.5,0.5,13283,168.0
1468803600,24774059,4188965471,170.0,168.0,169.5,0.0,6898,168.0
1468890000,43707370,7424369044,170.5,169.0,170.5,1.0,12495,170.5
1468976400,39076857,6633505533,170.5,169.0,170.0,-0.5,14235,170.0
1469062800,35220658,6034355320,172.0,170.0,172.0,2.0,12625,171.0
1469149200,29804436,5106380820,172.0,170.5,171.0,-1.0,9643,172.0
1469408400,27180811,4645419181,173.0,169.0,171.5,0.5,9757,172.0
1469494800,32736383,5634149876,173.0,171.5,173.0,1.5,12399,172.0
1469581200,36108136,6318691514,176.0,174.5,175.0,2.0,10896,175.0
1469667600,31138296,5464444857,176.5,173.0,176.5,1.5,9647,175.0
1469754000,30008528,5229445495,177.0,172.5,172.5,-4.0,8686,177.0
